"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"2095" 37027 2001 -81.55608 35.95932 0 7.24878 -0.0587637791621051 -1.32911153125434
"2111" 37033 1999 -79.322 36.38782 NA 7.5 -0.0273524408613082 -1.32257840552254
"2112" 37035 2007 -81.21212 35.66645 NA 7.5 -0.0541625786029011 -1.33446958668664
"2114" 37039 2004 -84.0644 35.13203 6.883818 6.89778 -0.0948434992200965 -1.3416302137723
"2117" 37043 2002 -83.75415 35.05575 0.433333 6.82375 -0.0905538474077127 -1.34327245241362
"2146" 37067 1996 -80.25679 36.12658 NA 7.5 -0.040499388141488 -1.32684565337153
"2150" 37075 2001 -83.83694 35.35014 4.3898 6.66945 -0.0913707967677507 -1.3380222229556
"2157" 37087 2002 -82.98415 35.5606 1.56667 6.35355 -0.0791424124692378 -1.33508872087149
"2158" 37089 2002 -82.48763 35.3381 0.26633179 7.06075 -0.0723780959085996 -1.33939619713445
"2167" 37097 2010 -80.87232 35.80692 NA 7.5 -0.0492997518704903 -1.33218240169878
"2168" 37099 2001 -83.13993 35.28356 0.457516 6.59747 -0.0816272165349229 -1.33982642112016
"2174" 37111 2006 -82.05955 35.68278 0 7.1932 -0.0660444766415881 -1.33364637879743
"2175" 37113 2001 -83.42137 35.1513 0 6.77689 -0.0857427864699508 -1.34190262830434
"2176" 37115 2004 -82.71067 35.86071 1.4199427 6.70833 -0.0750028963584933 -1.33003378896533
"2179" 37121 2001 -82.1652 36.00995 6.93878 6.41652 -0.0672354893285502 -1.32781692968888
"2198" 37135 1999 -79.12737 36.05478 NA 7.5 -0.0247533143514649 -1.32849782654788
"2218" 37149 2006 -82.18258 35.28425 0.965217 7.51083 -0.0681269519771983 -1.34056851576433
"2222" 37157 1996 -79.76749 36.39505 NA 7.46783 -0.0335481013583232 -1.32230832935858
"2224" 37161 2006 -81.92774 35.40718 5.3491 7.45575 -0.0644281899446563 -1.33858438450272
"2228" 37169 1995 -80.23785 36.40156 0 7.19854 -0.0400881436260953 -1.32201146709025
"2229" 37171 1995 -80.68897 36.41533 6.7674 7.02175 -0.0463540318807043 -1.3215638391743
"2230" 37173 2001 -83.49823 35.48403 0 6.53279 -0.0864496339315605 -1.3359866817768
"2231" 37175 2006 -82.80242 35.20297 0 6.94439 -0.0769500964415827 -1.34152438465995
"2239" 37189 2001 -81.69574 36.22897 5.3503803 6.36094 -0.0604999681452863 -1.3242785577083
"2241" 37193 2002 -81.17452 36.21792 0.42623 6.94774 -0.0532445538625502 -1.32478493759818
"2244" 37199 2001 -82.31418 35.8973 8.006523 6.46144 -0.0694202018057341 -1.32969148975449
"2341" 42001 1991 -77.2155 39.87776 11.869532 6.50109 0.00187352348434784 -1.26136023739126
"2342" 42003 2002 -79.9798 40.46986 23.9335767 6.29304 -0.0345204488967081 -1.25045785721804
"2344" 42007 2007 -80.34774 40.68327 0.212082 6.12963 -0.03924282702647 -1.24655955241776
"2345" 42009 1995 -78.48906 40.01033 40.73763162 6.2371 -0.0150002301508561 -1.25893722620372
"2346" 42011 1987 -75.92717 40.4192 41.8380707 6.47583 0.0188273461610238 -1.25168465286237
"2347" 42013 2001 -78.34849 40.4817 40.259918 6.09742 -0.013051618045336 -1.25065769130461
"2348" 42015 2002 -76.52777 41.78997 324.370635 5.61811 0.0107070119713821 -1.22765932425188
"2349" 42017 1980 -75.10511 40.34554 0.0685714 6.65486 0.0296834218430675 -1.25277164533743
