"FIPS" "year" "lat" "long" "size" "population" "income" "basalpercent" "x" "y"
"1746" 34031 1966 41.03232 -74.29866 184.59 502885 26615 9 0.0634568802044275 -1.23941010577448
"1747" 34033 1972 39.5932 -75.34277 331.9 65774 27941 20 0.0508553135309201 -1.26535285657719
"1748" 34035 1966 40.56772 -74.62239 301.81 327707 48090 13 0.0596252670102488 -1.24778753434623
"1749" 34037 1966 41.14084 -74.69525 519.01 147442 36986 30 0.0581949495539595 -1.23775659204967
"1750" 34039 1966 40.66755 -74.31498 102.86 543976 34851 0 0.063571243722981 -1.24583295812055
"1751" 34041 1969 40.86243 -75.00166 356.92 107653 33616 15 0.0544185901704254 -1.24283265907791
"1785" 36001 1945 42.60392 -73.97452 522.8 305455 31728 11 0.066176499215716 -1.21159671079408
"1786" 36003 1974 42.25604 -78.03352 1029.31 48357 20047 27 0.0144610199326136 -1.21942806623158
"1787" 36007 1972 42.16337 -75.81766 705.77 198060 24766 24 0.0429417086265322 -1.22038700783221
"1788" 36009 1981 42.24967 -78.67716 1308.35 79458 21369 16 0.00620329024571499 -1.21960996399619
"1789" 36011 1974 42.91938 -76.55465 691.58 79552 23990 4 0.0331133217517553 -1.20740986142118
"1790" 36013 1981 42.2321 -79.36496 1060.23 133539 21325 13 -0.0026233875974395 -1.2199316570871
"1791" 36015 1974 42.14159 -76.76317 407.35 88911 24299 31 0.0308088149384696 -1.22113644655537
"1792" 36017 1972 42.4958 -75.60952 893.55 49933 22786 16 0.0453960114438415 -1.21445346146041
"1793" 36019 1960 44.74823 -73.68638 1037.85 81654 23446 37 0.0676858134963109 -1.17386865631604
"1794" 36021 1945 42.25262 -73.63709 634.71 62499 32259 31 0.070836008522736 -1.21751499617482
"1795" 36023 1974 42.59475 -76.06449 498.76 49474 22322 2 0.0395253659771868 -1.2129198324174
"1796" 36025 1960 42.19659 -74.97049 1442.44 47276 23120 9 0.0537920390095134 -1.21937255089327
"1797" 36027 1945 41.76733 -73.75191 795.63 297322 32353 29 0.0698502719453842 -1.22611606231588
"1798" 36029 1981 42.7645 -78.73493 1042.69 919086 27366 7 0.00542148008664954 -1.21057069499482
"1799" 36031 1945 44.11613 -73.78035 1794.23 38961 24915 18 0.067151028337291 -1.18497917451683
"1800" 36033 1966 44.59143 -74.30673 1629.12 51795 20831 13 0.0601625764581469 -1.17702438153517
"1801" 36035 1945 43.11158 -74.42527 495.47 54925 23606 9 0.0599858729632952 -1.20299604816439
"1802" 36037 1981 42.99963 -78.19807 492.94 59977 25022 15 0.0122175486325772 -1.2063934331456
"1803" 36039 1945 42.27937 -74.131 647.16 48673 23605 17 0.0644831958035701 -1.21739729326085
"1804" 36041 1960 43.66008 -74.50427 1717.37 4778 29214 4 0.05851482431806 -1.19343717949807
"1805" 36043 1961 43.41412 -74.97219 1411.47 64508 22377 5 0.0528285736393811 -1.19801914613558
"1806" 36045 1974 44.0317 -75.9163 1268.59 120262 22574 15 0.0405562946368422 -1.18766680162488
"1807" 36049 1974 43.78293 -75.45191 1274.68 27224 21472 11 0.0465288474071162 -1.19180970799026
"1808" 36051 1974 42.72247 -77.78247 631.76 64810 23637 7 0.0175631956812564 -1.21119347830093
